72
vava0216|2025-10-07|11:00-11:30|19. Group Meeting/Call – Passive participation + Multitasking (i.e. doing in parallel some coding, other work)
vava0216|2025-10-07|13:00-13:30|2. Analyzing/Clarifying requirements and/or Design to start implementation;17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-07|14:30-15:00|22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-07|15:00-15:30|2. Analyzing/Clarifying requirements and/or Design to start implementation;15. Code review;16. Merging
vava0216|2025-10-07|15:30-16:00|2. Analyzing/Clarifying requirements and/or Design to start implementation
vava0216|2025-10-07|16:00-16:30|2. Analyzing/Clarifying requirements and/or Design to start implementation;16. Merging
vava0216|2025-10-07|16:30-17:00|5. Study & Research (how does our NC product work);11. Waiting for deployment/build/infra/CI to complete that I can continue
vava0216|2025-10-07|17:00-17:30|3. Analyzing/Clarifying defect, gathering additional info to start with bugfixing;5. Study & Research (how does our NC product work);8. Preparing workplace/solution configuration/environment to start implementation/bugfixing;9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests
vava0216|2025-10-07|17:30-18:00|9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests;11. Waiting for deployment/build/infra/CI to complete that I can continue
vava0216|2025-10-07|18:00-18:30|11. Waiting for deployment/build/infra/CI to complete that I can continue
vava0216|2025-10-07|18:30-19:00|11. Waiting for deployment/build/infra/CI to complete that I can continue
vava0216|2025-10-07|19:00-19:30|16. Merging
vava0216|2025-10-07|19:30-20:00|16. Merging
vava0216|2025-10-08|07:00-07:30|22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|09:00-09:30|9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests
vava0216|2025-10-08|09:30-10:00|9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests
vava0216|2025-10-08|10:00-10:30|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call);22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|10:30-11:00|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|11:00-11:30|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|11:30-12:00|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|12:00-12:30|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|12:30-13:00|7. Mentoring & Consulting;22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|13:00-13:30|7. Mentoring & Consulting;17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|13:30-14:00|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|14:00-14:30|15. Code review
vava0216|2025-10-08|14:30-15:00|23. None (did not do anything work related)
vava0216|2025-10-08|15:00-15:30|22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|15:30-16:00|10. Implementing/Bugfixing – Configuration of NC solution/product including debugging, dev tests;20. Task mgmt. & Planning (estimation, decomposition, planning DD, updating statuses, assignments, etc.);21. Tracking & Reporting (Update Jira / ERP / any other kind of tracking and reporting)
vava0216|2025-10-08|16:00-16:30|9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests
vava0216|2025-10-08|16:30-17:00|9. Implementing/Bugfixing – Coding/scripting work (in Java/React/GoLang/etc.) including debugging, dev tests;17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call)
vava0216|2025-10-08|17:00-17:30|17. Group Meeting/Call – Active participation (speaker, contributor, i.e. full dedication to the call);22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|17:30-18:00|22. Other (coffee break, informal discussions, anything else not in the list above)
vava0216|2025-10-08|18:00-18:30|22. Other (coffee break, informal discussions, anything else not in the list above)
